CIS #,Profile,Recommendation / Setting,Status,Policy,Setting definition ID,Configured value,vs v4.0.0,Notes
1.2.1,Level 1,(L1) Ensure 'Enable Google Cast' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge~googlecast_enablemediarouter,Enable Google Cast = Disabled,Unchanged,
1.3.1,Level 1,(L1) Ensure 'Allow users to manage installed CA certificates' is set to 'Enabled: Disallow users from managing certificates' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev133~policy~microsoft_edge~certificatemanagement_cacertificatemanagementallowed,Allow users to manage installed CA certificates. = Enabled [Allow users to manage installed CA certificates. (Device) = Disallow users from managing certificates],New,
1.4.1,Level 2,(L2) Ensure 'Allow read access via the File System API on these sites' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev86~policy~microsoft_edge~contentsettings_filesystemreadaskforurls,Allow read access via the File System API on these sites = Disabled,New,
1.4.2,Level 2,"(L2) Ensure 'Choose whether users can receive customized background images and text, suggestions, notifications, and tips for Microsoft services' is set to 'Disabled' (Automated)",In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev86~policy~microsoft_edge~contentsettings_spotlightexperiencesandrecommendationsenabled,"Choose whether users can receive customized background images and text, suggestions, notifications, and tips for Microsoft services = Disabled",New,
1.4.3,Level 1,(L1) Ensure 'Control use of insecure content exceptions' is set to 'Enabled: Do not allow any site to load blockable mixed content' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev80diff~policy~microsoft_edge~contentsettings_defaultinsecurecontentsetting,Control use of insecure content exceptions = Enabled [Control use of insecure content exceptions (Device) = Do not allow any site to load blockable mixed content],New,
1.4.4,Level 2,(L2) Ensure 'Control use of JavaScript JIT' is set to 'Enabled: Do not allow any site to run JavaScript JIT' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev93~policy~microsoft_edge~contentsettings_defaultjavascriptjitsetting,Control use of JavaScript JIT = Enabled [Control use of JavaScript JIT (Device) = Do not allow any site to run JavaScript JIT],New,
1.4.5,Level 2,(L2) Ensure 'Control use of the File System API for reading' is set to 'Enabled: Don't allow any site to request read access to files and directories via the File System API' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev86~policy~microsoft_edge~contentsettings_defaultfilesystemreadguardsetting,Control use of the File System API for reading = Enabled [Control use of the File System API for reading (Device) = Don't allow any site to request read access to files and directories via the File System API],New,
1.4.6,Level 1,(L1) Ensure 'Control use of the File System API for writing' is set to 'Enabled: Don't allow any site to request write access to files and directories' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev86~policy~microsoft_edge~contentsettings_defaultfilesystemwriteguardsetting,Control use of the File System API for writing = Enabled [Control use of the File System API for writing (Device) = Don't allow any site to request write access to files and directories],New,
1.4.7,Level 2,(L2) Ensure 'Control use of the Web Bluetooth API' is set to 'Enabled: Do not allow any site to request access to Bluetooth devices via the Web Bluetooth API' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge~contentsettings_defaultwebbluetoothguardsetting,Control use of the Web Bluetooth API = Enabled [Control use of the Web Bluetooth API (Device) = Do not allow any site to request access to Bluetooth devices via the Web Bluetooth API],New,
1.4.8,Level 2,(L2) Ensure 'Control use of the WebHID API' is set to 'Enabled: Do not allow any site to request access to HID devices via the WebHID API' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev100~policy~microsoft_edge~contentsettings_defaultwebhidguardsetting,Control use of the WebHID API = Enabled [Control use of the WebHID API (Device) = Do not allow any site to request access to HID devices via the WebHID API],New,
